,production
127,1.5450060522747115
128,3.643777480201516
129,3.661199885007194
130,3.595721955627687
131,2.3380487572696147
132,0.766862218382226
133,1.326278928709904
134,1.889188614559601
135,1.4264761507527224
136,1.4822861267736167
137,1.4913298239537713
138,1.1314021114911006
139,1.8967199048645416
140,2.2967682076724807
141,5.817480139500929
142,1.4692558818342378
143,2.2564364369680656
144,1.32734021827622
145,1.6593702811823094
146,1.662409797200206
147,1.4863659148441062
148,0.0916671885258238
149,1.385293860786307
150,0.7719583609842351
151,2.073674946785499
152,2.2915241456346207
153,3.1420811698891282
154,0.0
155,2.225380022085074
156,0.6043159668533296
157,1.3607201100004602
158,1.3762440252663892
159,0.0
160,2.1711087302056598
161,3.7081427202947825
162,4.032664174948064
163,1.7732559976634952
164,2.3890379807242446
165,0.037883280727579474
166,0.009950330853168083
167,2.1478008791931793
168,4.357593051032615
169,3.79012652113022
170,2.4464256629697188
171,4.292730832188293
172,1.1678273576895828
173,4.173294365200502
174,1.3381539857919558
175,3.5926713713153435
176,2.5998709015885213
177,2.180756384628912
178,1.5366521427084476
179,2.2006631032686617
180,0.86625979826859
181,2.9719517448885875
182,2.305281454541788
183,0.7357276280950636
184,1.1075720300395817
185,1.809926773183504
186,0.9951019122984448
187,2.2489733235453966
188,0.0
189,0.0
190,0.0
191,0.0
192,1.308062512850317
193,1.7182923173461826
194,0.0
195,5.109828832982641
196,3.7244396295124873
197,1.2947271675944
198,2.3023850729913784
199,2.0705269242902617
200,2.17668167610489
201,2.645465325910589
202,1.379521476832462
203,1.117106871304274
204,1.1464496180822699
205,2.469200619966383
206,1.1012754060875933
207,0.08157998699242287
208,3.2264073912835474
209,2.304982217593767
210,2.178155014615869
211,1.4004437842243103
212,1.3922764327974382
213,1.399210586386437
214,1.4019216170055897
215,1.422144014013588
216,0.0
217,5.1219739052805835
218,3.8828619240851587
219,2.320916049678769
220,1.9027043631797818
221,1.7448425494403035
222,2.5305967757051158
223,0.1466943791508035
224,1.1668937960845154
225,0.8350806764486118
226,1.249615162204637
227,2.8619151258196514
228,1.266384064447333
229,2.4228539253849903
230,1.3892898700996892
231,2.1935511719699106
232,1.889339797566919
233,0.004987541511039074
234,1.8991179875485544
235,4.029254778055872
236,4.035549515711595
237,4.008877446792028
238,0.0
239,4.859153272453273
240,4.615506580922792
241,1.5929019437940009
242,1.474076274503424
243,1.9037479711761023
244,2.2899050398366714
245,2.312733424045861
246,2.1240563344387873
247,3.333596398192349
248,2.450746443974566
249,0.8687797492031033
250,1.1896710196150764
251,1.8501855976966672
252,2.0512992357335555
253,0.8696183236757243
254,1.7703655765403825
255,1.164087870627021
256,1.0075928902809412
257,1.6384140206706175
258,1.961361586947346
259,2.1021810286493254
260,1.0564004398588003
261,2.242622751821363
262,2.231089091288976
263,0.9205775304097363
264,1.7374792623149844
265,1.1675162673153208
266,1.6570845659014535
267,0.49956243148727997
268,2.7656899805486246
269,1.9849934901361208
270,0.22234323114344062
271,2.080565909341545
272,2.1451122341694817
273,1.1039314501457096
274,1.1039314501457096
275,1.4756779222545762
276,1.4523161566618878
277,0.1864795669426183
278,1.8729353807373679
279,1.8493992486744695
280,1.0848513734180727
281,1.863459783393246
282,2.3036844884373466
283,4.179849249168577
284,2.344014902757185
285,2.326789781690863
286,1.6317863160978623
287,1.960798761549064
288,3.0946722214088944
289,1.5210437616715051
290,0.12927233570413918
291,0.02664193094642118
292,4.653500434888898
293,2.2328061983861294
294,2.3523271848888596
295,1.1984576236378257
296,0.09440067542148431
297,5.043676698173255
298,1.7121749898852126
299,0.0
300,1.2839847422953208
301,3.126541213665405
302,1.0595248999600628
303,2.1075429717907106
304,2.3512800145328043
305,0.45805755822733496
306,0.0
307,5.703272344561967
308,5.846687299086364
309,2.3149088426828777
310,0.0657877405380031
311,1.0598714603516792
312,2.275830355685226
313,2.058600875807984
314,0.010939940038334364
315,2.046272480288322
316,4.940026832531903
317,2.4305384573045066
318,2.2507653442642495
319,0.9150900112976362
320,4.914403356270169
321,5.638721150214129
322,1.4182774069729414
323,0.0
324,0.766862218382226
325,2.17872110577166
326,0.9321640810304452
327,1.6812002786609912
328,2.7865532625901537
329,0.6064993738342731
331,1.2068686074379615
332,1.0039352417262015
333,1.50585359617753
334,1.4911047254722358
335,1.2435780589182954
336,0.3694924476493468
337,0.3694924476493468
338,0.3694924476493468
339,0.3694924476493468
340,2.3694022660313627
341,2.313920602657791
342,1.4572186994565892
343,0.0
344,1.9219101536931003
345,1.3537711694143306
346,0.9616464335949523
347,0.6678293725756554
348,0.9254486696589206
349,1.9757463053410709
350,3.2362048069899756
351,1.266384064447333
352,2.0759354023505483
353,1.9414717424563819
354,3.4503366912224473
355,1.126875753940969
356,5.2934053221870165
357,1.9310865344491543
358,1.0057657383017578
359,1.2199445738356347
360,1.171242979703017
361,1.2830593627267182
362,4.603725142415358
363,2.351660930640638
364,0.0
365,0.9543569326806114
366,3.6964010955127824
367,1.6264916669999279
368,5.423305494187756
369,1.8762537922044964
370,1.6544112780768316
371,1.6544112780768316
372,5.893832423677775
373,0.0009995003330835331
374,2.3383382626998634
375,1.6331544390514163
376,0.6946460566836812
377,1.0170406349742982
378,1.2917089186300228
379,1.1887576385194556
380,1.0584844975773304
381,1.4029056269250875
382,1.402659715206155
383,1.237214138105738
384,1.5129270120532565
385,1.0039352417262015
386,3.731148401293103
387,1.7238374527425966
388,3.9786343767266477
389,3.9754859483387843
390,3.694041109819453
391,3.9767427601419207
392,1.7238374527425966
393,1.3922764327974382
394,0.9038132103630425
395,1.3694024934496725
396,0.9038132103630425
397,1.2966431391672442
398,1.532772827498615
399,1.0698698198024557
400,1.1065804583172865
401,0.07696104113612832
402,1.6586089564405497
403,3.9773986760582787
404,0.43048287108345223
405,3.025048327888044
406,4.617148162747498
407,1.47932922708708
408,0.8082599876604499
409,0.0
410,0.0
411,0.9790777199729199
412,1.925998944436258
413,0.7911809208313108
414,0.42461392694692524
415,1.0356724888942355
416,0.8024499154503955
417,1.125578736897924
418,0.9400072584914712
419,0.830297018707179
420,2.1606758468113525
421,1.0469680555157712
422,1.4331779470187411
423,0.9462378082421072
424,1.163775614574523
425,1.4502076868635434
426,2.3846258033302554
427,1.1016077976479082
428,6.518605843450676
429,3.75938451499929
430,0.7075430608436777
431,0.7779477822524103
432,1.8059910514747795
433,1.772236802739191
434,1.2547609711580412
435,3.265033956849284
436,2.168253380198754
437,3.349588247928925
438,3.033461490363998
439,1.630220451616629
440,5.791546068659661
441,1.2878542883066382
442,1.0192082658808412
443,2.3085671646715933
444,1.4706355095536414
445,0.9462378082421072
446,3.7663727609789333
447,1.3658365192174944
448,1.8251942453142924
449,4.231363615880189
450,1.8628390509090071
451,0.47747564408443655
452,2.0288059257112563
453,1.0452115119409946
454,2.0453675613460844
455,0.9726710653102627
456,2.2706815439810373
457,1.4838746894587547
458,1.3265443567141166
459,3.917209532115446
460,1.5214806336749584
461,5.7077512552838305
462,1.0174022332425665
463,1.291159166004852
464,4.043542375291715
465,5.584548386732503
466,1.409278197510266
467,1.457917104792858
468,2.265817368801831
469,1.3643043432282755
470,1.2675108251299236
471,2.305979326062061
472,1.9414717424563819
473,1.5859645562484581
474,1.8725711119644686
475,1.3206886040218968
476,1.4386495914538187
477,6.130791612329081
478,2.1424163408412245
479,2.240390489400928
480,3.700041921320047
481,0.9558959864665144
482,2.332532169361998
483,1.9878743481543455
484,3.1918334537563173
485,2.330589289403643
486,1.3767489482763593
487,1.32734021827622
489,1.2080644222291896
490,2.2352693857091785
491,5.238859251597838
492,2.288283308283186
493,0.8537257287349058
495,1.1884529926678993
496,1.2453066678189133
497,1.2453066678189133
498,1.9854055497532417
499,1.2199445738356347
500,1.3905353553771451
501,1.7154182359713324
502,1.7109108813647342
503,3.0462827921518922
504,0.9984235614126774
505,3.8194251439605793
506,1.969347618882762
507,2.5129270524710465
508,0.0
509,1.4073217283119661
510,2.432208860787551
511,2.2716102886946152
512,2.203317091335377
513,1.3402504226184837
514,2.2774723921789706
515,0.927823967687828
516,2.3649963531154428
517,1.146767330555157
518,3.0290703331645012
519,4.163030720010547
520,2.2785997302435343
521,2.5218009409702757
522,1.348592493935879
523,0.5805382361772911
524,5.114094002464486
525,2.0836825359370903
526,0.8237367502635472
527,2.667228206581955
528,1.4560536055347435
529,2.0373166153791646
530,0.9794533068317952
531,1.3342112812496654
532,1.5629750380237595
533,1.1362291522394166
534,1.4699459336155014
535,1.287578388180733
536,2.852439103727515
537,1.1875384978625112
538,1.196343777161445
539,3.3406685885873335
540,2.2340920965487454
541,2.34660197841082
542,1.2864740258376797
543,1.8017098000812233
544,1.4908795763099654
545,3.6515150170137205
546,2.3649963531154428
547,1.0715836162801904
548,4.096808191660074
549,1.763188512240019
550,2.353183145757137
551,1.4422019930581866
552,1.7889221144078948
553,1.5865786182880177
554,0.9329511727672624
555,1.1072416153661642
556,1.663168234855068
557,1.0253244928982774
558,3.6966739975798486
559,0.76220671649144
560,0.7055697005585024
561,1.814824742159051
562,5.699975236313247
563,1.6183976538055722
564,0.5205779152086689
565,2.543961412569315
566,1.7526720805200082
567,1.0949388833018008
568,1.5303947050936475
569,5.057054395548574
570,2.41805434280016
571,0.8307328435125084
572,0.9078552530530535
573,1.906426544206181
574,0.27535642276114397
575,2.6937484163913505
576,5.909370152830816
577,6.421404357887014
578,5.57908433468266
579,0.0
580,5.0408670090398315
581,1.0602179006807981
582,0.0
583,3.9424746128839745
584,3.9373398134119357
585,3.980746507305028
586,3.5489850029598773
587,1.403888669520842
588,1.0674655596712728
589,1.5473497201206787
590,1.725975728682052
591,0.4114471797857119
592,1.471783747135305
593,2.2833003315821787
594,3.9821086129948338
595,0.7970566439504569
596,1.416581053724763
597,3.534153608910781
598,0.028587456851912555
599,1.4722426732562555
600,1.163775614574523
601,1.7164969847275082
602,2.3558414592944774
603,3.632097440014952
604,3.391517347608849
605,3.562749176969724
606,0.8738006802532029
607,1.604425370610556
608,1.4902038245104021
609,1.5323408620491334
610,1.1761904233134843
611,0.020782539182528505
612,1.1902794771939336
613,3.1133375156282543
614,1.3977855833977848
615,1.3977855833977848
616,0.5893909329312994
617,1.9888327928090808
618,3.3700506526653187
619,1.838484009400924
620,1.269760544863939
621,2.3218974040264184
622,5.282238796335346
623,2.2699585901669517
624,3.4497652989143486
625,1.3321021320364639
626,2.2981753845053454
627,0.5019866750987864
628,0.07325046173959267
629,0.9798287526781426
630,2.258842170046127
631,1.4384123153819972
632,0.6360475885193725
633,4.767076427831111
634,2.40676491190371
635,3.1831242871610512
636,0.8104856729771787
637,0.9958410106321642
638,1.0912519342618172
639,0.8671004876833832
640,1.0986122886681096
641,3.7595009985927077
642,0.0
643,1.0438040521731147
644,1.7164969847275082
645,1.2187628897985714
646,1.3509262172820993
647,0.3994470357826014
