,year,latitude,longitude,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sun hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,altitude,ac,solrad
2558,2017,40.01184,-4.195808,22.7565934065934,10.037087912087918,320.29999999999995,320.2,0.07,520.0,0 days 12:15:40.714285714,14.134340659340658,31.794780219780225,170.6094182825485,6672.629999999999,1431.37,529.0,6392.298656651283,5.301382010495533
2559,2017,39.86433,-3.611917,23.01126373626373,10.34945054945055,289.6,288.5,0.98,472.0,0 days 12:15:39.560439560,17.649450549450535,32.678846153846166,199.51388888888889,6709.27,1536.75,529.0,6392.298656651283,5.301382010495533
2560,2017,40.23342,-4.750336,22.692032967032965,10.363461538461532,340.1,340.1,0.0,584.0,0 days 12:15:45.659340659,13.474725274725268,32.043681318681315,164.4611111111111,6643.45,1397.83,664.0,6266.304625998432,5.079303485604518
2561,2017,39.97048,-4.556459,22.94423076923077,10.608241758241755,340.1,340.1,0.0,584.0,0 days 12:15:39.065934065,13.474725274725268,32.043681318681315,164.4611111111111,6643.45,1405.27,529.0,6392.298656651283,5.301382010495533
2562,2017,40.12416,-3.849206,23.047527472527456,10.421978021978028,311.79999999999995,311.4,0.28,546.0,0 days 12:15:43.681318681,15.18461538461538,32.29505494505496,183.4116022099448,6674.67,1480.34,529.0,6392.298656651283,5.301382010495533
2563,2017,39.90598,-5.20118,23.04340659340661,11.286813186813172,376.3,376.3,0.0,623.0,0 days 12:15:38.241758241,11.452197802197796,30.04532967032969,167.0360110803324,6583.450000000001,1354.41,664.0,6266.304625998432,5.079303485604518
2564,2017,39.77677,-4.064173,22.4934065934066,10.43653846153847,349.8,348.6,0.91,571.0,0 days 12:15:35.604395604,14.814560439560442,32.64697802197798,194.2049861495845,6643.780000000001,1443.87,529.0,6392.298656651283,5.301382010495533
2565,2017,39.72131,-3.305534,22.92032967032968,10.29697802197802,306.6,305.6,0.7000000000000001,523.0,0 days 12:15:34.120879120,17.562637362637364,34.77445054945056,189.5068870523416,6703.48,1547.9699999999998,529.0,6392.298656651283,5.301382010495533
2566,2017,40.08976,-3.96732,22.542582417582413,9.615659340659349,326.90000000000003,326.70000000000005,0.14,528.0,0 days 12:15:41.043956043,14.696153846153832,32.239560439560414,179.2841225626741,6677.52,1449.9500000000005,529.0,6392.298656651283,5.301382010495533
2567,2017,39.98657,-4.612792,22.94423076923077,10.608241758241755,340.1,340.1,0.0,584.0,0 days 12:15:43.351648351,13.474725274725268,32.043681318681315,164.4611111111111,6643.45,1405.98,529.0,6392.298656651283,5.301382010495533
