,altitude,ac,solrad,lat,longitude
175,101.0,3566.763292134526,3.188986407306761,-31.7764,-60.4553
176,120.0,4353.865690431432,3.729459144114346,-28.5339,-65.7997
178,101.0,3566.763292134526,3.188986407306761,-27.3236,-58.5667
179,114.0,3261.747382962169,2.882465860472222,-37.0953,-56.8789
180,101.0,3566.763292134526,3.188986407306761,-25.6786,-59.0756
181,101.0,3566.763292134526,3.188986407306761,-31.2567,-61.5203
183,101.0,3566.763292134526,3.188986407306761,-31.8919,-60.0106
185,101.0,3566.763292134526,3.188986407306761,-26.8156,-60.4114
186,101.0,3566.763292134526,3.188986407306761,-26.8153,-60.4125
187,120.0,4353.865690431432,3.729459144114346,-27.4597,-65.6055
188,101.0,3566.763292134526,3.188986407306761,-34.5252,-58.6206
190,101.0,3566.763292134526,3.188986407306761,-34.5252,-58.6206
192,101.0,3566.763292134526,3.188986407306761,-28.2628,-58.0006
193,4042.0,4007.736885556867,3.457012742900494,-22.5406,-63.8056
194,4042.0,4007.736885556867,3.457012742900494,-22.5406,-48.8003
195,120.0,4353.865690431432,3.729459144114346,-28.4289,-65.7878
196,120.0,4353.865690431432,3.729459144114346,-28.0486,-67.5667
197,101.0,3566.763292134526,3.188986407306761,-31.8919,-60.0106
199,101.0,3566.763292134526,3.188986407306761,-27.5808,-60.7094
200,476.0,3497.196699194679,3.057453046206171,-39.0872,-67.0881
202,476.0,3497.196699194679,3.057453046206171,-30.1833,-69.0667
203,120.0,4353.865690431432,3.729459144114346,-26.04,-65.93
204,120.0,4353.865690431432,3.729459144114346,-23.8,-66.8
205,101.0,3566.763292134526,3.188986407306761,-34.8902,-57.933
206,101.0,3566.763292134526,3.188986407306761,-34.6533,-58.342
207,476.0,3497.196699194679,3.057453046206171,-33.2993,-68.7199
208,476.0,3497.196699194679,3.057453046206171,-39.2577,-68.7483
209,476.0,3497.196699194679,3.057453046206171,-34.61,-68.6136
210,476.0,3497.196699194679,3.057453046206171,-34.61,149.476
211,120.0,4353.865690431432,3.729459144114346,-27.6589,-65.7633
212,101.0,3566.763292134526,3.188986407306761,-30.0102,-59.5321
213,101.0,3566.763292134526,3.188986407306761,-34.627,-58.3382
214,476.0,3497.196699194679,3.057453046206171,-37.2742,-69.652
215,16.0,3268.925652577528,2.780352900198646,-43.1288,-71.63
216,476.0,3497.196699194679,3.057453046206171,-33.0449,-68.9219
217,101.0,3566.763292134526,3.188986407306761,-29.1388,-59.2277
