,year,latitude,longitude,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sun hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
3631,2017,41.97587,-4.383108,20.40604395604396,8.16126373626374,305.0,304.1,0.84,577.0,0 days 12:16:23.736263736,17.79038461538461,37.38516483516483,156.82142857142858,6174.780000000001,1306.88
3632,2017,42.45378,-4.702911,19.156318681318663,7.585439560439569,448.1,433.4,10.99,768.0,0 days 12:16:34.945054945,17.167307692307695,35.117032967032955,161.9889502762431,5908.4,1198.38
3633,2017,42.30802,-4.343727,19.625274725274707,7.494780219780223,357.5,353.9,2.8,647.0,0 days 12:16:30.164835164,18.306593406593407,38.63543956043955,138.53185595567868,6038.5599999999995,1239.08
3634,2017,42.76434,-4.686781,15.548626373626375,6.147527472527471,925.0,842.3,59.989999999999995,1840.0,0 days 12:16:40.384615384,10.482692307692304,35.84258241758243,187.55153203342618,5280.75,865.6099999999999
3635,2017,42.28405,-4.482509,19.798351648351662,7.537637362637368,358.6,354.5,3.01,580.0,0 days 12:16:29.175824175,18.212637362637363,37.599450549450566,144.7403314917127,6083.8,1251.54
3636,2017,42.62992,-4.504412,17.596153846153847,6.522802197802201,424.70000000000005,393.40000000000003,23.869999999999997,966.0,0 days 12:16:37.417582417,15.529120879120903,36.935989010989005,147.58563535911603,5524.02,1007.44
3637,2017,42.15409,-4.516803,19.847802197802206,7.592857142857147,358.6,354.5,3.01,580.0,0 days 12:16:26.538461538,18.212637362637363,37.599450549450566,144.7403314917127,6083.8,1253.8100000000002
3638,2017,42.27843,-4.725373,19.731318681318687,7.460439560439556,367.0,362.3,3.5700000000000003,618.0,0 days 12:16:28.186813186,18.64835164835165,37.20054945054944,157.77624309392266,6123.68,1271.54
3639,2017,42.52224,-4.736195,18.901098901098912,7.335989010989008,448.1,433.4,10.99,768.0,0 days 12:16:36.263736263,17.167307692307695,35.117032967032955,161.9889502762431,5908.4,1190.28
3640,2017,42.84879,-4.378163,17.49615384615386,6.422802197802199,424.70000000000005,393.40000000000003,23.869999999999997,966.0,0 days 12:16:44.010989010,15.529120879120903,36.935989010989005,147.58563535911603,5524.02,1005.7900000000001
3641,2017,42.20156,-4.531021,19.747802197802187,7.492857142857149,358.6,354.5,3.01,580.0,0 days 12:16:28.516483516,18.212637362637363,37.599450549450566,144.7403314917127,6083.8,1250.81
3642,2017,42.89171,-4.386276,15.348626373626368,5.947527472527473,925.0,842.3,59.989999999999995,1840.0,0 days 12:16:43.021978021,10.482692307692304,35.84258241758243,187.55153203342618,5280.75,862.24
3643,2017,42.54183,-4.353204,18.6379120879121,6.9486263736263725,383.2,373.5,7.5600000000000005,752.0,0 days 12:16:34.780219780,18.269780219780223,38.399450549450556,140.8977900552486,5829.37,1141.31
3644,2017,42.35485,-4.566011,19.547802197802206,7.29285714285714,358.6,354.5,3.01,580.0,0 days 12:16:30.659340659,18.212637362637363,37.599450549450566,144.7403314917127,6083.8,1245.28
