,Unnamed: 0,latitude,longitude,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sun hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,altitude,solrad,City,production prediction
62,62,36.96576,-2.20651,23.413461538461533,13.92032967032967,202.0,201.5,0.35,362.0,734.7666666666667,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1442.2,21.0,5.615388717961149," Níjar, Almería, Andalucía, 04100, España",30.387346
63,63,37.03723,-2.745168,21.46043956043956,10.886263736263734,236.40000000000003,219.5,12.32,492.0,734.7333333333333,9.5934065934066,36.98296703296701,184.5580110497237,7014.89,1352.14,21.0,5.615388717961149," Plaza Miguel Vizcaino, Ohanes, Almería, Andalucía, España",51.523388
64,64,37.17611,-2.476297,20.9574175824176,9.904670329670328,360.4,303.4,40.11,614.0,734.7833333333333,11.784340659340655,38.593956043956055,191.75070028011208,6955.56,1343.63,21.0,5.615388717961149,"Olula de Castro, Almería, Andalucía, 04212, España",42.62415
65,65,37.35212,-2.298121,22.564010989010967,13.071703296703296,202.0,201.5,0.35,362.0,734.8666666666667,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1414.1799999999998,21.0,5.615388717961149," Valle del Almanzora, Almería, Andalucía, 04860, España",28.958862
66,66,37.48503,-2.295018,20.98516483516483,8.682692307692312,264.4,222.0,29.89,468.0,734.8833333333333,14.161813186813191,36.98406593406595,191.3,6889.96,1359.0400000000002,21.0,5.615388717961149," Oria, Valle del Almanzora, Almería, Andalucía, España",33.01126
67,67,36.99884,-2.773482,22.013186813186827,11.90714285714285,211.0,198.3,8.89,431.0,734.7166666666667,11.296428571428564,37.53104395604394,164.4776536312849,7009.35,1379.88,21.0,5.615388717961149," Padules, Almería, Andalucía, 04458, España",49.146862
68,68,37.40604,-2.226434,23.159615384615385,11.778571428571428,286.9,263.3,16.52,459.0,734.8666666666667,15.169505494505495,35.227747252747285,192.1030640668524,6834.15,1405.1,21.0,5.615388717961149," Partaloa, Valle del Almanzora, Almería, Andalucía, España",36.537937
69,69,37.02088,-2.953087,20.422527472527488,9.253571428571426,321.2,297.0,17.64,602.0,734.7333333333333,8.576373626373623,35.25494505494504,215.6553672316384,7020.23,1312.74,21.0,5.615388717961149,"Calle la Fuente, Paterna del Río, Almería, Andalucía, España",42.384193
70,70,36.91667,-2.440625,25.06401098901096,15.571703296703298,202.0,201.5,0.35,362.0,734.7333333333333,14.055219780219764,37.7118131868132,148.75069252077563,6989.03,1495.8599999999997,21.0,5.615388717961149," Pechina, Almería, Andalucía, 04250, España",31.867805
71,71,37.41183,-1.745502,21.16923076923077,15.742032967032962,216.8,215.5,0.91,370.0,734.85,18.311813186813183,32.83296703296702,140.8836565096953,6746.42,1313.89,21.0,5.615388717961149," Pulpí, Almería, Andalucía, 04640, España",16.374067
